,review,sentiment
14,"One night on an independent channel famous for showing off-the-wall films was aired this monstrosity. Though tempted to turn it off, we watched it to the bitter end, hoping to see some semblance of redeeming value. Alas, there was none. Absolutely nothing. The film quality was cheap; the soundtrack was muddy; the editing was ridiculous. Then again, there was precious little to salvage. After a few minutes of Cameron Mitchell's doctor character narrating about some patient of his, the viewer is tortured by no plot, pathetic writing, abysmally terrible acting, and an utter lack of cohesion and continuity. The rotting cherry on top of this fetid mess was the most horrendous ""special effects"" and ""makeup"" to ever disgrace the screen, even for television. The main character stumbles through his role in a dimestore rubber mask and a pair of dishwashing gloves which appear to have been dipped in glue and rolled in beads. Perhaps the poor lighting and gag-worthy film quality were attempting to cover up how bad-to-the-tenth-power the makeup was. One can only hope that at least one deliberate decision was made in the course of this hopelessly amateurish video. Seriously, a handful of three-year-old kids could've produced a better project. At the end, poor Mr. Mitchell returns (how desperate he must've been for money!) and drones out some nonsense that's supposed to connect this pile of crap with the AIDS epidemic. Please spare you and your loved ones the inhuman cruelty of sitting through this. It was so bad, even Mystery Science Theater 3000 couldn't have salvaged it.",negative
15,"In the Citadel film series book The Films of Gene Kelly, Anchors Aweigh is described as a kingpin of a musical. I sure can't do better than that. It's such an important film in both the careers of Gene Kelly and Frank Sinatra. Kathryn Grayson didn't do too badly with this either.<br /><br />Louis B. Mayer had lent Gene Kelly out to Columbia where Harry Cohn had an inspiration to let Kelly choreograph his own numbers and because of it, Cover Girl became a classic. So if Mayer didn't learn a lesson, producer Joe Pasternak did and allowed Kelly artistic control. When Anchors Aweigh was finished, Fred Astaire at last had a dancing rival for monarch of cinema dance.<br /><br />The main number everyone talks about with Gene Kelly here is the dance with Jerry Mouse. Originally Kelly wanted to do the number with Walt Disney's Mickey Mouse, but Disney wasn't lending Mickey out to nobody. Mickey would have to wait until Who Framed Roger Rabbit to do an outside film. Not to worry because MGM had it's own animated rodent one half the team of Tom and Jerry.<br /><br />Kelly as dancer always strived to do something new and different on screen as did Fred Astaire. For the next dozen years, these two were allowed all kinds of artistic control and were praised for their work even if the films themselves weren't up to snuff. It was like each inspired the other to bigger and better creativity, Kelly for MGM, Astaire for MGM and any number of other studios. In Anchors Aweigh, Kelly got Sinatra to dance a bit. In fact Frank Sinatra always gave credit to Gene Kelly for showing him how musicals should be done as he gave credit to both Burt Lancaster and Montgomery Clift for their help in earning him is Oscar for From Here to Eternity.<br /><br />When Frank Sinatra had half of his contract bought from RKO by MGM he insisted on a little artistic creativity on his own. He'd become friends with the songwriting team of Jule Styne and Sammy Cahn. In his autobiography Sammy Cahn tells about how Sinatra insisted that they write his songs for this film. Louis B. Mayer gave in and the team wrote some really fine ballads for him to sing. One of my favorite Sinatra numbers comes from Anchors Aweigh, I Fall in Love Too Easily. Frank sings it accompanying himself on the piano at an empty Hollywood Bowl. It's Sinatra at his best. <br /><br />With Jule Styne and later with Jimmy Van Heusen, Sammy Cahn richly earned the title of having put more song lyrics in Frank Sinatra's mouth than any other person. They were lifetime friends and Cahn always credited Sinatra with this milestone boost in his career.<br /><br />On a bet Styne and Cahn said they could write a song just using a chromatic scale. They proved it in Anchors Aweigh when Kathryn Grayson put her soprano to work on All of a Sudden My Heart Sings. She also did some classical numbers.<br /><br />Here singing in fact is the basis of the plot. Two sailors on leave through a combination of circumstances meet up with Kathryn Grayson and her orphaned nephew Dean Stockwell. Trying to fix her up with Sinatra, Kelly says he can get her an audition with Jose Iturbi. They spend the film trying to accomplish just that. <br /><br />My only disappointment in Anchors Aweigh was that Pamela Britton, who plays the waitress 'Brooklyn' never got a number herself. She had gotten rave reviews from her performance as Meg Brockie in Brigadoon on Broadway and that's what brought her to Hollywood. I have a suspicion she had a number that was cut and somewhere in MGM's vaults it might still be.<br /><br />Anchors Aweigh is a great example of why musicals just aren't made any more. All that creative talent was under contract to Metro-Goldwyn- Mayer. If you had to pay market value for it, the cost might retire some third world country's debt.<br /><br />But the film results would be extraordinary.",positive
16,"It seems at least vaguely possible that this movie provided a bit of inspiration for ""The Sopranos,"" as its main character, Martin Blank (John Cusack) is a hit man who has so many issues from his past and his profession that he's in therapy trying to deal with it all. Everything finally comes to a head at his 10-year high school reunion. The problem was that by the time Blank got to the reunion I had stopped caring. Frankly, I found this movie a drag from start to finish.<br /><br />It had potential. There was a reasonably good cast, headed by Cusack and Dan Aykroyd, playing Grocer, his arch-rival in the hit-man business, along with Minnie Driver as Debi, Blank's high school sweetheart who he stood up on prom night, and a limited role for Alan Arkin as Dr. Oatman, Blank's psychologist. That fairly talented cast never really seemed to come together, though. The drama lacked intensity and the comedy lacked real humour. What I thought had the most potential to be a comedic storyline was Grocer's proposal for a hit man's union, but aside from becoming a bit of a running joke, the idea never really got developed. As for the romance, one wondered why Debi would even think of letting this guy back into her life.<br /><br />There were a handful of chuckles, but nothing really caught me and held me and I spent most of the movie wondering whether this thing was ever going to start to click. It never did - not for me, at least. 2/10",negative
17,"*SPOILERS INCLUDED*<br /><br />With a title like ""Bleed"", you know the creative juices weren't running on high when this puppy was conceived. The movie is your basic run-of-the-mill low-budget slasher movie. Oh sure, it tries to be creative with the premise of the ""murder club"", but we learn that was just a joke anyways. Okay, for those who really care about these things, the basic plot is that new girl in town starts dating her co-worker. He invites her into his circle of friends, and at a party, they tell her how they have a ""murder club"" and they murder people, blah blah blah. Well, we learn that it was all a joke, but not before our heroine kills a lady in a parking garage. Now, the ""members"" of the Murder Club are being killed one by one. Oh, and the bad guys wins and the movie ends on a downer. By that time, you won't really care though.<br /><br />In retrospect, the first 10 or so minutes of this movie make no sense. The motivation for the killings in the beginning of the movie is never explained. I would say that it was a way for the director to pad out the film, but on the DVD there are deleted scenes! I'm not sure why anyone would want to see more than the feature length version of ""Bleed"", but apparently the people behind the DVD thought the viewers would be clamoring for more. On the box, it says there are Easter Eggs, but why the hell I would want to waste my time looking for extras on this movie is beyond me. <br /><br />I was expecting a bad movie, and ""Bleed"" delivered on that front. It wasn't a fun bad movie though. Everyone looks good in the movie, and there's plenty of nudity, but the acting is just awful. My least favorite character is the guy who ends up being the killer...I think he's supposed to be funny and amusing, but he just ends up coming off as a tool. I think the funniest moment of the movie is when our heroine kills the lady in the parking garage, in a hilariously unconvincing death. Heroine shoves the women into the parking garage cement pole, and the woman looks like she barely hits the thing, and she spits out a mouthful of blood, and ""dies"". <br /><br />For those who think that movie making is an intricate, creative process done by professionals, check out ""Bleed"". It will change your mind, and you'll realize any hack get can a movie made. <br /><br />Otherwise, don't waste your time or money on this.",negative
18,"No one in this movie has very much to do. This is probably the longest 65 minutes I've ever spent watching a movie. The makeup effects on the pianist with macromeglia are pretty good, but that's the only thing that keeps this from being rate a 1. The doctor's assistant goes through extreme mood swings from passivity to hysteria in seconds and then seems to forget where she was in the next scene. The director assembled a lot of the right ingredients for a mad-doctor movie, but somehow forgot the skeleton of a story to hang them on. Unless you know someone in the cast or crew, I wouldn't recommend even sampling this one.",negative
19,"For a feature film, the plot closely follows history--or at least historical gossip. But then the Chinese, who know the story very well from seeing it portrayed again and again, would never tolerate it otherwise. The attention to detail is wonderful, especially for anyone who has read Sima Qian's account in the Records of the Historian. Jing Ke, according to Sima Qian, did indeed make an attempt on Qin Shi Huang's life at the request of the Crown Prince of Yan before unification. Sima Qian explicitly mentions both the head of General Fan and the dagger rolled up into the map, as well as the dagger being thrown into the brass column. Although Jing Ke is described as no stranger to swordplay, he's hardly the invincible warrior portrayed by Chen Kaige. Jing Ke is indeed this film's weakest link. In reality (again, according to Sima Qian), he was a heavy drinker and put off his visit to Qin for as long as possible, spending a good deal of time with the ladies of Yan before the crown prince finally ordered him on his way. He was, in short, a human being and was not looking forward to death although he was willing to accept it. Chen Kaige's Jing Ke is afraid of death, but not his own. He is the classic ruthless killer turned disillusioned pacifist. His love (or maybe just affection) for a woman and pity for several hundred children whom Zheng had buried alive (not even two thousand years of hostile Confucian historians claimed Qin Shi Huang did this, although there is a legend about him burying 460 Confucians up to their necks and then beheading them)is enough to make this former assassin kill again. The melodrama is not convincing and the character ends up being just plain boring. The acting here isn't shabby, though not very interesting given the character. As for Lady Zhou, in all the numerous stories I've heard about Qin Shi Huang, she's never come up. Anyway, Gong Li is famous enough for Americans to have heard of her (thanks to Zhang Yimou) and there needed to be a love interest, so here she is. It's unfortunate that her performance is almost as wooden as Jing Ke's character. She's done much better (in Qiu Ju for example) at being subtle; here she just barely manages presence. But all of this is trivial compared to the extraordinary acting of Li Xuejian as Zheng himself. Qin Shi Huang is for the Chinese rather what Milton's Satan is for us: accepted as a villain, but a noble one. Qin Shi Huang's accomplishments radiate an awe all the way across two thousand years into the present and Li captures his frightening will without compromising his humanity. Li's performance is enough, but the scope of the film is grand although the photography is purposely drab. It does feel ancient. The score is adequate, scarcely moving though very appropriate to the action. Though I've only seen it once, I believe that Chen Kaige should be given more credit for his camera work than other reviewers have allowed him. The opening credits are exhilarating. If five stars its absolutely average, I given three more for Li Xuejian's acting and Chen Kaige as an actor, writer, and director.",positive
20,"Panic delivers the goods ten fold with Oscar caliber performances from William H Macy, Neve Campbell, and Donald Sutherland. In a movie about the choices we make and the consequences we live with. Chillingly Honest and thought provoking, Panic is easily one of the best film to come out of Hollywood in years. The impact stays with you right after you leave the theater.",positive
21,"Manmohan Desai made some entertaining though illogical films like AAA, PARVARISH and NASEEB but he made some craps like COOLIE and MARD and then GJS<br /><br />This movie is one of the worst movies ever made by him the dial became famous Mard ko dard nahin hota but the film is so bad you cringe<br /><br />The British are made carricatures and the film looks so weird The scene in the British hotel is damn stupid <br /><br />The film has many stupidities like Amrita assaulting Amitabh and then the entire scene plus towards the climax the film becomes even worse There are more gems like the horse statue getting life, The masks of Amitabh haha and more<br /><br />Direction by Manmohan Desai is bad Music is okay<br /><br />Amitabh does his part with style, nothing different from COOLIE, LAAWARIS type roles Amrita Singh is okay Satyen Kapuu is okay Prem Chopra is as usual, Nirupa Roy is again her usual self Dara Singh is also as usual",negative
22,"A few summer space campers actually were accidently sent into space by a robot. And the oxygen in ship was running short. They had to sent someone to a space station to get the gas tanks, etc, etc.<br /><br />First of all, this movie's plot is not possible in real life. But it gives a warm feelings of anything is possible if you set your heart in.<br /><br />It is amazing to see those young actors who still look about the same after so many years. (I saw this movie for the first time in the year of 2000, it was filmed in 1986) There are quite a few people in that movie who are still working in Hollywood.<br /><br />The view was great from outer space. It does not look unreal. It is about 2 hours long, it runs so fast that you won't even notice. You know that it is not real, but you just get sucked into it until the end.<br /><br />Overall, it is a good family movie.<br /><br />",positive
23,"I've been intrigued by this film for a while, in part because of the extremely high score here on IMDb -- a 9.0 average with over 300 votes gives it the highest rating of any accessible silent film! How had I not heard of this film before this website? Well, you can't always trust the ratings. This is actually a very good film, preserved quite well if the fine VHS transfer I rented is any indication -- excellent acting by the principals, especially William Haines as Brown, and good location work at Cambridge with some fine action footage in the climactic Harvard/Yale football game -- but the story must have seemed a hoary chestnut even in 1926. Obnoxious, self-centered and charismatic guy goes to school and gets put in his place, becoming in the process a caring, self-sacrificing friend; I doubt people in 1926 found much that was really exciting in the last few reels, the predictability factor is high. Still, it starts out very well, and is certainly deserving of being remembered, if not praised to the heavens. Maybe the previous 350 voters are mostly Harvard men...<br /><br />EDIT Now 600+ voters and the score has actually climbed to 9.2! Seriously, folks, there is ballot-stuffing going on here - I defy anybody to explain why this is a better film than ""Metropolis"" or ""The General""!",positive
24,"I was truly surprised when I first saw this movie directed by Iain Softley; it differs in so much ways from the usual Hollywood mass-production. The plot itself is simple - Kevin Spacey plays a mental patient Prot who claims to be from the planet K-pax who arrived to Earth by a beam of light, while Dr. Powell played by Jeff Bridges tries to help him to solve his delusions... First of all, I must admit the cast is perfectly chosen: Kevin Spacey is really brilliant in portraying the intriguing character of Prot, always walking in the fine line of convincing us that it is real and then making us wonder whether he is delusional or not... Some of the gem scenes include the one where Prot innocently eats the whole banana (even the peal) while in session with Dr. Powell; or the observatory scene where he confidently shows his knowledge of the K-Pax system to the astonished astronomers... Jeff Bridges on the other hand is the subtle, rational side of this movie, and he delivers it perfectly. There is a whole other cast of excellent actors (like Saul Williams' convincing performance as Ernie) who make this film truly work.<br /><br />K-pax has it all, elements of comedy; Sci-Fi, even psychological thriller (concerning the Prot's identity) but most importantly it can be categorized as a heartwarming drama. The main premise of the movie is quite intricate, but the director never lets it get loose, he always keeps it believable and yet two-ways interpretable. The camera and photography have almost a crucial part here, continuing the main idea of light travel, there is much focus on light-shadow play, lightning settings - one of the memorable scenes is where Dr. Powell holds a crystal figure in his office which refracts light in a beautiful way while all the time he suspects can the idea be true? <br /><br />Subtle and slow paced, intriguing and pleasurable, K-pax is truly a gem to watch, one of the kind movie that may not be for all tastes, but those who see it - might fall in love with it.",positive
25,"I can't believe I am just now seeing this film -- I think perhaps I thought it was another movie about slaves being mistreated, and I avoided Roots for the same reason -- just as I have yet to see Schindler's List -- I don't want to be ""entertained"" by other peoples' pain, not matter how authentic or informative it is supposed to be.<br /><br />So I guess the main thing I noticed about The Color Purple was that it was not about black people being mistreated by whites. The black people were perfectly capable of raping their own daughters -- or giving them away to be treated as slaves by their ""husbands"". It was painful to watch, but everyone redeemed himself in the end, and the acting was phenomenal! I couldn't believe the character Oprah played at the age of 35! And I adore Whoopi to start with - she was amazing. I'm so glad I was feeling lousy yesterday afternoon and Showtime was running The Color Purple.",positive
26,"The is one of the worst spoofs I have ever seen. For one main reason: IT ISN'T FUNNY! I laughed a handful of times. The acting is bad, the script is worse. And why those guys had baby pacfiers in their hair I will never know. And you can tell this didn't have much of a budget to work with and it openly hurts the film. They had a good idea going in some parts but it never really came to past. And what was the point about the lead being older than his Dad? 3 out of 10",negative
27,"This movie is simply awesome.It was a very sensitive issue and movie was superb.This movie did not create any controversy in India (as far as i know) and its publicity was also kept low.Initially i thought that this movie would simply be a waste of time since most of the Indian directors and producers used to change the theme even though its very sensitive and adds a love story in original story and spoils the whole thing...most of the Indian viewers would agree on this topic if they remember Ashoka, Mangal Pandey,LOC etc..<br /><br />There have been so many movies in India which would have become milestone or mega hits if the love story part would not be unnecessarily added.<br /><br />But its treatment is pretty similar to Pinjar movie (also a must watch).<br /><br />If it counts then i would like to thank Anil Kapoor ( producer ) and Firoz Abbas Khan ( the director) for making such a great movie..",positive
